priority	status	target_path	target_namespace	source_namespace	symbols	recommendation	blocker	validation
P0	apply-now	core/lib/src/std/format.hal	std.format	std.format.common	line|value-text|truncate|pad	intern-all	complete source public surface	public-surface equality|Var metadata
P0	apply-now	core/lib/src/std/format.hal	std.format	std.format.table	table-lines	intern-all	complete source public surface	public-surface equality|Var metadata
P0	apply-now	core/lib/src/std/format.hal	std.format	std.format.terminal	render-lines|render|emit-lines!	intern-all	complete source public surface	public-surface equality|Var metadata
P0	apply-now	core/lib/src/workspace.hal	workspace	workspace.core	create|dispatch|view|result	intern-all	complete source public surface	public-surface equality|Var metadata
P0	existing-correct	core/lib/src-lang/postgres/core.hal	postgres.core	postgres.core.builtin|postgres.core.addon	*	preserve-intern-all	already uses canonical whole-owner publication	Foundation surface tests|loader parity
P1	selective-intern-in	core/lib/src/std/format.hal	std.format	std.format.report	report-lines	intern-in	owner also publishes report which conflicts with local adapter	target surface equality|report adapter tests
P1	selective-intern-in	core/lib/src/workspace.hal	workspace	workspace.model	area|component|component-view|find-area|component-contract	intern-in	facade omits model constants and helpers	target surface equality|workspace tests
P1	selective-intern-in	core/lib/src/std/typed.hal	std.typed	std.typed.schema|std.typed.registry|std.typed.explain|std.typed.infer	curated-set	intern-in	owners expose lower-level helpers and constants	typed public surface|schema metadata
P1	selective-intern-in	core/lib/src/std/block.hal	std.block	std.block.base|std.block.construct|std.block.parse|std.block.type|std.block.value|std.block.layout	curated-set	intern-in	selected exports plus renames and local helpers	block public surface|rename checks
P1	selective-intern-in	core/lib/src/tool/lint.hal	tool.lint	tool.lint.analyze|tool.lint.flow|tool.lint.report	analyze-source|analyze-file|lint-scans-work|text|edn	intern-in	lint entrypoints adapt results through native Result	lint surface|Result behaviour
P1	selective-intern-in	core/lib/src/work/base/runtime.hal	work.base.runtime	work.base.model|work.provider.memory|work.base.frame|work.base.coordinator|work.base.receipt	curated-set	intern-in	compatibility facade omits implementation helpers	runtime surface|provider tests
P1	selective-intern-in	core/lib/src/work/base.hal	work.base	work.base.runtime	memory-backend|runtime-map|canonical-runtime?|normalise-runtime|local-runtime|durable-runtime|observer|recording-observer|observer-events|with-handler|handler-operations|checkpoint-key|manifest-values|receipts|receipt-status|publish-receipts!	intern-in	namespace also owns Work algebra and managed host API	work public surface|runtime tests
